"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "Markdown", "CSS", "TypeScript React", "Prisma", "comment", "blank", "total"
"/Users/isaacyanez/Desktop/Everything/album-rater/hooks/useReviews.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"/Users/isaacyanez/Desktop/Everything/album-rater/hooks/useSearch.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"/Users/isaacyanez/Desktop/Everything/album-rater/hooks/useUpdateComment.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/isaacyanez/Desktop/Everything/album-rater/next.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/Users/isaacyanez/Desktop/Everything/album-rater/package-lock.json", "JSON", 0, 4843, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4844
"/Users/isaacyanez/Desktop/Everything/album-rater/package.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/album/fetchAlbumData.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/auth/me.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 10, 50
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/auth/signin.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 19, 83
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/auth/signup.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 16, 85
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/auth/updateInfo.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 10, 61
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/comments/createComment.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 9, 57
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/comments/fetchUserComments.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/comments/updateComment.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/fetchAlbum.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/fetchRecentlyAddedAlbums.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/isaacyanez/Desktop/Everything/album-rater/pages/api/token/fetchToken.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/isaacyanez/Desktop/Everything/album-rater/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/isaacyanez/Desktop/Everything/album-rater/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 37, 2, 11, 50
"/Users/isaacyanez/Desktop/Everything/album-rater/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/isaacyanez/Desktop/Everything/album-rater/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/isaacyanez/Desktop/Everything/album-rater/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/Users/isaacyanez/Desktop/Everything/album-rater/tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"/Users/isaacyanez/Desktop/Everything/album-rater/tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 1, 29
"/Users/isaacyanez/Desktop/Everything/album-rater/util/days.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 3, 21
"/Users/isaacyanez/Desktop/Everything/album-rater/util/fetchToken.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"Total", "-", 29, 4884, 26, 989, 2, 21, 9, 1570, 37, 115, 335, 8017
